"","x"
"760",22957.080078125
"761",16823.23828125
"762",6326.50048828125
"763",23243.984375
"764",1654.30969238281
"765",57336.8046875
"766",4749.609375
"767",13575.06640625
"768",19730.666015625
"769",4458.9619140625
"770",19.1645984649658
"771",39794.5546875
"772",17426.68359375
"773",41848.578125
"774",6099.0625
"775",5617.7939453125
"776",52595.40234375
"777",6589.76708984375
"778",12008.1328125
"779",7582.341796875
"780",11010.1455078125
"781",1213.44140625
"782",657.58837890625
"783",76283
"784",1345.22961425781
"785",16183.603515625
"786",18978.3125
"787",45781.66796875
"788",81779.265625
"789",0
"790",36.3982200622559
"791",27764.560546875
"792",93080.875
"793",944.962097167969
"794",139503.546875
"795",1884.73107910156
"796",12232.01171875
"797",29979.9453125
"798",39098.98828125
"799",13544.37890625
"800",43035.2578125
"801",119777.9375
"802",57332.30078125
"803",69911.5078125
"804",113590.078125
"805",96748.7578125
"806",60691.265625
"807",134133.015625
"808",155300.9375
"809",10561.736328125
"810",64331.00390625
"811",87.0642318725586
"812",15055.3740234375
"813",11263.84375
"814",7374.01611328125
"815",2134.00390625
"816",22472.43359375
"817",21969.37890625
"818",16772.00390625
"819",12320.978515625
"820",92084.4765625
"821",20658.291015625
"822",3419.95068359375
"823",2414.958984375
"824",4301.84521484375
"825",3927.24243164062
"826",6326.1083984375
"827",39869.9921875
"828",21069.666015625
"829",3124.69873046875
"830",3603.19091796875
"831",13258.927734375
"832",25789.130859375
"833",16874.75390625
"834",1128.11535644531
"835",1898.39196777344
"836",2028.88854980469
"837",24109.556640625
"838",38096.5859375
"839",17515.359375
"840",14416.0458984375
"841",6077.4853515625
"842",45766.0703125
"843",11353.4423828125
"844",114469.8046875
"845",14025.0830078125
"846",75246.78125
"847",17.7965259552002
"848",27848.708984375
"849",39210.18359375
"850",2714.83764648438
"851",28064.470703125
"852",5046.10595703125
"853",67693.96875
"854",58808.22265625
"855",101755.859375
"856",4390.46630859375
"857",13368.04296875
"858",1697.41882324219
"859",1280.75317382812
"860",107662.8125
"861",795.693664550781
"862",25513.611328125
"863",0
"864",0
"865",2506.44458007812
"866",35343.08203125
"867",42494.16796875
"868",45756.171875
"869",48257.8671875
"870",924.532653808594
"871",5492.181640625
"872",9359.36328125
"873",21957.4921875
"874",34953.3046875
"875",974.541564941406
"876",33003.390625
"877",4689.37255859375
"878",34606.6328125
"879",4802.31201171875
"880",14277.091796875
"881",2035.41589355469
"882",15870.4423828125
"883",7217.623046875
"884",5264.2958984375
"885",39.623836517334
"886",26666.681640625
"887",6353.2158203125
"888",2789.78540039062
"889",26252.771484375
"890",89967.2421875
"891",19767.91015625
"892",42535.046875
"893",2167.23168945312
"894",3933.10009765625
"895",25272.458984375
"896",9085.5400390625
"897",48070.28125
"898",12806.0478515625
"899",41451.67578125
"900",25885.1796875
"901",11540.5302734375
"902",98035.1796875
"903",28396.42578125
"904",58494.9375
"905",42457.99609375
"906",28530.439453125
"907",4955.6240234375
"908",35420.53125
"909",2016.08813476562
"910",12660.951171875
"911",11367.3408203125
"912",1830.32446289062
"913",31337.701171875
"914",71592.1796875
"915",611.365966796875
"916",45590.48046875
"917",139.580123901367
"918",25963.529296875
"919",13186.8759765625
"920",7924.26416015625
"921",52983.10546875
"922",5696.6650390625
"923",3304.45092773438
"924",3014.5078125
"925",7477.6806640625
"926",9556.3515625
"927",17185.365234375
"928",6386.39892578125
"929",4326.90185546875
"930",6687.08642578125
"931",12596.0029296875
"932",6799.3828125
"933",1191.01513671875
"934",38804.28515625
"935",6971.3974609375
"936",38618.25
"937",3246.59838867188
"938",9094.2255859375
"939",5890.802734375
"940",34093.921875
"941",27330.580078125
"942",49993.7265625
"943",60805.25390625
"944",19204.294921875
"945",15348.3505859375
"946",8139.92236328125
"947",3615.50732421875
"948",7702.51123046875
"949",5270.63330078125
"950",5342.7724609375
"951",69620.609375
"952",52094.03515625
"953",17818.26953125
"954",75799.890625
"955",38673.96484375
"956",55179.5
"957",56897.99609375
"958",139124.625
"959",17213.294921875
"960",2506.78125
"961",650.380798339844
"962",1139.13696289062
"963",970.005676269531
"964",2508.25146484375
"965",482.58203125
"966",633.514526367188
"967",893.709289550781
"968",2585.6357421875
"969",2615.515625
"970",18517.9609375
"971",2836.02490234375
"972",126.945419311523
"973",1584.22180175781
"974",5120.05712890625
"975",2666.44458007812
"976",4691.09814453125
"977",3164.3203125
"978",4186.96484375
"979",8056.904296875
"980",9046.0009765625
"981",2377.50659179688
"982",5457.8017578125
"983",5308.5966796875
"984",8992.4208984375
"985",11566.6943359375
"986",2235.4345703125
"987",1056.91162109375
"988",2400.296875
"989",44608.9140625
"990",37697.25390625
"991",2657.37622070312
"992",3890.2607421875
"993",19616.603515625
"994",32782.125
"995",1498.90771484375
"996",62844.23046875
"997",47847.34765625
"998",15767.4619140625
"999",53014.62890625
"1000",27833.5625
"1001",42984.765625
"1002",20194.736328125
"1003",44104.91015625
"1004",2702.65551757812
"1005",46457.70703125
"1006",15229.193359375
"1007",16227.08984375
"1008",81924.796875
"1009",10131.8037109375
"1010",5992.41357421875
"1011",11545.7080078125
"1012",11620.412109375
"1013",17314.732421875
"1014",17715.693359375
"1015",1950.82495117188
"1016",19234.734375
"1017",16544.271484375
"1018",68673.796875
"1019",40656.21875
"1020",28178.12109375
"1021",723.1064453125
"1022",94480.3671875
"1023",135631.3125
"1024",32237.908203125
"1025",4833.31005859375
"1026",7993.6689453125
"1027",7879.42041015625
"1028",11494.708984375
"1029",12222.38671875
"1030",130949.09375
"1031",20100.859375
"1032",12146.884765625
"1033",119059.8828125
"1034",55739.1796875
"1035",8419.103515625
"1036",21693.26171875
"1037",21249.26171875
"1038",25228.345703125
"1039",13630.021484375
"1040",19006.7734375
"1041",9427.73828125
"1042",2897.65576171875
"1043",3341.18115234375
"1044",4567.73828125
"1045",16318.841796875
"1046",9262.349609375
"1047",6646.83154296875
"1048",4558.11767578125
"1049",44897.51953125
"1050",1033.71228027344
"1051",1351.23693847656
"1052",1802.16516113281
"1053",16534.208984375
"1054",36441.390625
"1055",356.953948974609
"1056",5117.55419921875
"1057",26293.80859375
"1058",3790.48852539062
"1059",48315.0234375
"1060",22362.36328125
"1061",7094.58349609375
"1062",7058.205078125
"1063",12348.5458984375
